question_id,level,topic,item_idx,advanced,observed_success,pp_mean,pp_median,pp_q025,pp_q975,inside_95_interval
104,Basic,Fundamental Mathematics,0,0,0.35714285714285715,0.3687857142857075,0.35714285714285715,0.14285714285714285,0.6428571428571429,True
108,Basic,Fundamental Mathematics,1,0,0.1875,0.2999453125,0.3125,0.0625,0.5625,True
112,Basic,Fundamental Mathematics,2,0,0.46153846153846156,0.3965961538461562,0.38461538461538464,0.15384615384615385,0.6923076923076923,True
113,Basic,Fundamental Mathematics,3,0,0.3,0.3418125000000056,0.3,0.1,0.7,True
114,Basic,Fundamental Mathematics,4,0,0.21052631578947367,0.2966249999999897,0.3157894736842105,0.10526315789473684,0.5263157894736842,True
118,Basic,Fundamental Mathematics,5,0,0.375,0.33203125,0.3125,0.125,0.5625,True
120,Basic,Fundamental Mathematics,6,0,0.45454545454545453,0.3562613636363682,0.36363636363636365,0.09090909090909091,0.6363636363636364,True
136,Basic,Linear Algebra,7,0,0.36363636363636365,0.4712045454545496,0.45454545454545453,0.18181818181818182,0.7272727272727273,True
142,Basic,Differentiation,8,0,0.36363636363636365,0.29505681818181234,0.2727272727272727,0.0,0.6363636363636364,True
143,Basic,Differentiation,9,0,0.2727272727272727,0.3447500000000021,0.36363636363636365,0.09090909090909091,0.6363636363636364,True
177,Basic,Statistics,10,0,0.4444444444444444,0.4749791666666626,0.5,0.2222222222222222,0.7222222222222222,True
179,Basic,Statistics,11,0,0.46153846153846156,0.4496442307692307,0.46153846153846156,0.15384615384615385,0.7692307692307693,True
180,Basic,Statistics,12,0,0.7,0.4822875000000038,0.5,0.2,0.8,True
181,Basic,Statistics,13,0,0.26666666666666666,0.399975000000018,0.4,0.13333333333333333,0.6666666666666666,True
182,Basic,Statistics,14,0,0.4166666666666667,0.45782291666666713,0.4166666666666667,0.16666666666666666,0.75,True
183,Basic,Statistics,15,0,0.5384615384615384,0.5224038461538457,0.5384615384615384,0.23076923076923078,0.7692307692307693,True
184,Basic,Statistics,16,0,0.6363636363636364,0.5221931818181783,0.5454545454545454,0.18181818181818182,0.8181818181818182,True
185,Basic,Statistics,17,0,0.7142857142857143,0.5418928571428578,0.5714285714285714,0.2857142857142857,0.7857142857142857,True
